;study;use;size;code;condition
1;CRA002390;discovery;6;RC;COVID-19
2;GSE161731;development;18;RC;COVID-19
3;GSE161731;discovery;97;RC;COVID-19
4;GSE161731;development;95;RC;COVID-19
5;GSE161731;discovery;98;RC;COVID-19
6;GSE161731;discovery;139;RC;COVID-19
7;GSE150728;discovery;10;RC;COVID-19
8;GSE149689;validation;20;RC;COVID-19
9;GSE152418;validation;33;RC;COVID-19
10;GSE152641;validation;86;RC;COVID-19
11;GSE155454;validation;20;RC;COVID-19
12;GSE155673;validation;12;RC;COVID-19
13;GSE163151;validation;27;RC;COVID-19
14;GSE166253;validation;26;RC;COVID-19
15;GSE171110;validation;54;RC;COVID-19
16;GSE59635_GPL10558;discovery;19;N;Aging
17;GSE59654_GPL10558;discovery;22;N;Aging
18;GSE59743_GPL10558;discovery;30;N;Aging
19;GSE53232_GPL11532;discovery;128;N;Obesity
20;GSE55205_GPL10558;discovery;23;N;Obesity
21;GSE56960_GPL13667;discovery;168;N;Obesity
22;GSE83223_GPL10558;discovery;22;N;Obesity
23;GSE131793_GPL6244;discovery;20;N;Hypertension
24;GSE22356_GPL570;discovery;18;N;Hypertension
25;GSE42057_GPL570;discovery;135;N;COPD
26;GSE68526_GPL10904;discovery;121;N;Smoking
27;GSE87072_GPL570;discovery;80;N;Smoking
28;GSE16129_GPL96;development;56;OB;Staphylococcus aureus
29;GSE62525_GPL16951;development;28;OB;Mycobacterium tuberculosis
30;GSE25504_GPL570;development;5;OB;Unknown bacterium
31;GSE69528_GPL10558;development;111;OB;"Acinetobacter baumannii;Acinetobacter lwoffii;Aeromonas;Bacillus;Burkholderia pseudomallei;Citrobacter freundii;Corynebacterium;Cryptococcus neoformans;Enterococcus;Escherichia coli;Klebsiella;Klebsiella pneumoniae;Micrococcus;Pseudomonas aeruginosa;Salmonella;Salmonella group C;Sphingobacterium;Sphingomonas;Staphylococcus aureus;Streptococcus pyogenes;Streptococcus suis;Viridans streptococci"
32;GSE32707_GPL10558;development;79;OB;Unknown bacterium
33;GSE73461_GPL10558;development;107;OB;Unknown bacterium
34;GSE103119_GPL10558;development;73;OB;"Mycoplasma;Streptococcus pneumoniae;Streptococcus pyogenes"
35;GSE13015_GPL6947;discovery;34;OB;"Aeromonas hydrophila;Burkholderia pseudomallei;Corynebacterium;Enterococcus;Enterococcus faecium;Escherichia coli;Salmonella;Staphylococcus aureus;Streptococcus Non-Group A or B"
36;GSE29161_GPL6480;discovery;10;OB;Unknown bacterium
37;GSE19444_GPL6947;discovery;33;OB;Mycobacterium tuberculosis
38;GSE30385_GPL201;discovery;20;OB;Unknown bacterium
39;GSE16129_GPL97;discovery;52;OB;Staphylococcus
40;GSE68004_GPL10558;discovery;30;OB;Streptococcus
41;GSE83456_GPL10558;discovery;153;OB;Mycobacterium tuberculosis
42;GSE60244_GPL10558;discovery;62;OB;Unknown bacterium
43;GSE11755_GPL570;discovery;27;OB;Neisseria meningitidis
44;GSE40586_GPL6244;discovery;39;OB;"Streptococcus pneumoniae;Unknown"
45;GSE25504_GPL13667;discovery;15;OB;Unknown bacterium
46;GSE30119_GPL6947;discovery;143;OB;Staphylococcus aureus
47;GSE29536_GPL6102;discovery;141;OB;"Burkholderia pseudomallei;Mycobacterium tuberculosis"
48;GSE97298_GPL11532;discovery;62;OB;Nontuberculous mycobacteria
49;GSE73464_GPL10558;discovery;107;OB;Unknown bacterium
50;GSE73462_GPL6947;discovery;39;OB;Unknown bacterium
51;GSE13015_GPL6106;discovery;27;OB;"Acinetobactor baumannii;Burkholderia pseudomallei;Corynebacterium;Enterococcus;Escherichia coli;Klebsiella pneumoniae;Salmonella;Salmonella serotype b;Staphylococcus aureus;Staphylococcus coagulase negative;Streptococcus Non-Group A or B;Streptococcus pneumoniae"
52;GSE19439_GPL6947;discovery;25;OB;Mycobacterium tuberculosis
53;GSE41055_GPL5175;discovery;18;OB;Mycobacterium tuberculosis
54;GSE25504_GPL6947;discovery;63;OB;"Enterococcus;Escherichia coli;group B Streptococcus;Staphylococcus"
55;GSE73461_GPL10558;development;149;OV;Unknown virus
56;GSE73464_GPL10558;development;149;OV;Unknown virus
57;GSE29333_GPL6884;development;18;OV;Human T-Lymphotropic virus Type 1
58;GSE74027_GPL21032;development;99;OV;Unknown virus
59;GSE57730_GPL570;development;12;OV;Human immunodeficiency virus
60;GSE36539_GPL6480;development;32;OV;Hepatitis E virus
61;GSE73462_GPL6947;development;44;OV;Unknown virus
62;GSE29536_GPL6102;development;152;OV;Human immunodeficiency virus
63;GSE29429_GPL6947;development;185;OV;Human immunodeficiency virus
64;GSE29366_GPL6884;discovery;31;OV;Influenza virus
65;GSE13699_GPL6104;discovery;22;OV;Live-attenuated Yellow Fever Virus
66;GSE67059_GPL10558;discovery;22;OV;Rhinovirus
67;GSE4124_GPL571;discovery;45;OV;Human immunodeficiency virus
68;GSE33580_GPL570;discovery;86;OV;Human immunodeficiency virus
69;GSE85599_GPL17586;discovery;17;OV;Epstein-Barr Virus
70;GSE6269_GPL96;discovery;24;OV;Influenza virus
71;GSE60244_GPL10558;discovery;111;OV;Unknown virus
72;GSE103842_GPL10558;discovery;74;OV;Respiratory syncytial virus
73;GSE45918_GPL6883;discovery;16;OV;Epstein-Barr Virus
74;GSE38900_GPL10558;discovery;36;OV;Respiratory syncytial virus
75;GSE29333_GPL6947;discovery;19;OV;Human T-Lymphotropic virus Type 1
76;GSE103119_GPL10558;discovery;115;OV;"Adenovirus;Bocavirus;Coronavirus;Human metapneumovirus;Human parainfluenza virus;Respiratory syncytial virus;Rhinovirus"
77;GSE29429_GPL10558;discovery;47;OV;Human immunodeficiency virus
78;GSE34205_GPL570;discovery;101;OV;"Influenza virus;Respiratory syncytial virus"
79;GSE47199_GPL6244;discovery;40;OV;BK Polyomavirus
