gene;log2FC;pvalue;ATAC score (pi-value)
A1BG;-0.048890041;0.73856225;-0.00643455979033135
A1BG-AS1;-0.061390223;0.991300212;-0.000232963676144431
A2M;-0.208298878;0.254428907;-0.123819841042064
A2M-AS1;-0.085421464;0.065644881;-0.101036433697036
A2ML1;-0.377231111;0.038010041;-0.535706527666399
A4GALT;0.302016027;0.009104766;0.616333532657697
A4GNT;-0.349211155;0.084797883;-0.374219908330078
AA06;-0.589037832;0.004918802;-1.35958216975808
AAAS;-0.379809027;0.001234918;-1.10462209546814
AACS;-0.196388165;0.035855006;-0.283869312472551
AACSP1;-0.010969177;0.663932036;-0.00195115744480542
AAED1;-0.589075715;0.011233676;-1.14839020924869
AAGAB;-0.57112826;0.007633497;-1.20923642096754
AAK1;-0.522692215;0.020040151;-0.887583133055428
AAMDC;-0.344121648;0.01436996;-0.634059429467412
AAMP;0.023603975;0.904904398;0.00102434880861506
AANAT;0.379007424;0.008259835;0.789483314469709
AAR2;0.227717736;0.006462762;0.498606618769339
AARD;0.202242499;0.283002109;0.110871426711598
AARS;0.268580063;0.014903658;0.490617114425194
AARS2;-0.266253659;0.046291864;-0.355314264917713
AARSD1;-0.204181096;0.17849861;-0.152802018876337
AASDH;0.415171102;0.053017576;0.529584009254123
AASDHPPT;0.290993714;0.054008805;0.368844842932391
AASS;-0.186877141;0.066556185;-0.219919183521277
AATBC;-0.286565872;0.063036086;-0.343996756381504
AATF;0.462191866;0.039366601;0.649320448860023
AATK;0.351928019;0.324597706;0.171971229076229
AATK-AS1;0.351928019;0.324597706;0.171971229076229
ABAT;0.375751927;0.086595428;0.399238315073424
ABCA1;0.290760629;0.040791104;0.403992860939421
ABCA10;0.444747497;0.002087748;1.1920664667128
ABCA11P;0.169216318;0.036914075;0.242454495809099
ABCA12;0.174742561;0.42703332;0.0645740579362505
ABCA13;-0.439193634;0.038272857;-0.622385302985163
ABCA17P;-0.84430516;0.007610765;-1.78872100775482
ABCA2;-0.345407663;0.004846357;-0.799475256581079
ABCA3;-0.84430516;0.007610765;-1.78872100775482
ABCA4;-0.003648381;0.70559268;-0.000552532465708719
ABCA5;0.444747497;0.002087748;1.1920664667128
ABCA6;0.367926487;0.003090326;0.923493901839267
ABCA7;-0.416024891;0.008058822;-0.87104314463789
ABCA8;0.26946817;0.054362764;0.340795982386076
ABCA9;-0.422354889;0.075108832;-0.474857399340426
ABCB1;0.402170216;0.007872803;0.846114099955914
ABCB10;-0.214107328;0.085527284;-0.228644213374401
ABCB11;0.221148278;0.186014285;0.161538578528443
ABCB4;0.692163148;0.007413516;1.47429073468098
ABCB5;-0.439485679;0.066112728;-0.518467813626408
ABCB6;-0.268857736;0.198239079;-0.188956101342529
ABCB7;0.328152912;0.023932292;0.531941024627634
ABCB8;-0.28342835;0.020285186;-0.479793464515117
ABCB9;0.317667935;0.018517255;0.550335361719445
ABCC1;0.373527175;0.004434826;0.878955541632424
ABCC10;0.420305607;0.019255214;0.721013947167227
ABCC13;0.555383;0.001816092;1.52222824604675
ABCC2;0.529115671;0.023947936;0.857554652685185
ABCC3;-0.370003323;0.16072187;-0.293754896801032
ABCC4;0.402726574;0.0192839;0.690597594797543
ABCC5;-0.343406465;0.053462187;-0.436796979306891
ABCC5-AS1;-0.312578903;0.243607951;-0.191707310972572
ABCC6;0.12466344;0.539230333;0.0334379366731004
ABCC8;0.161341292;0.657843444;0.0293443426212286
ABCC9;0.135237335;0.554705543;0.034612304659736
ABCD1;0.20829167;0.114215237;0.196268232211059
ABCD2;-0.36625124;0.006562343;-0.799504875085431
ABCD3;0.215618572;0.093533441;0.221878644998847
ABCD4;0.581091901;0.009046646;1.18746850727941
ABCE1;-0.248894572;0.079689009;-0.273435968549085
ABCF1;0.229019996;0.017164796;0.40430305016439
ABCF2;-0.28342835;0.020285186;-0.479793464515117
ABCF3;0.329590448;0.116854672;0.307294945947735
ABCG1;-0.4415152;0.034977967;-0.642936834457611
ABCG2;0.298414608;0.132553073;0.261891703658436
ABCG4;-0.50048253;0.031152304;-0.753981850055827
ABHD1;0.277636906;0.071968573;0.317299311593267
ABHD10;0.290678085;0.02180137;0.482966351408298
ABHD11;0.506661078;0.011890034;0.975229807278973
ABHD11-AS1;-0.696252952;0.026475631;-1.0980979057735
ABHD12;0.306227518;0.008925055;0.627579337172243
ABHD12B;0.227499368;0.329524345;0.109680287814847
ABHD13;0.398279932;0.100632929;0.397188599839737
ABHD14A;-0.606402035;0.022429936;-1.00006123600513
ABHD14A-ACY1;-0.168368988;0.017484621;-0.29588219331897
ABHD14B;-0.606402035;0.022429936;-1.00006123600513
ABHD15;0.398626619;0.024102376;0.644954008862781
ABHD16A;-0.345786926;0.029613667;-0.528538017498897
ABHD16B;-0.530768502;0.071360245;-0.608549264915308
ABHD17A;-0.394628842;0.003238452;-0.982492643406528
ABHD17B;-0.30030279;0.013404923;-0.562387748534496
ABHD17C;-0.26938413;0.049538749;-0.351561096303577
ABHD18;0.147558936;0.184590492;0.108277370901467
ABHD2;-0.695997721;0.044401395;-0.941408873402372
ABHD3;-0.384560181;0.006615366;-0.838128195598105
ABHD4;-0.331854011;0.003228704;-0.826638972583522
ABHD5;0.502567974;0.018586662;0.869843945135954
ABHD6;0.536446551;0.021555948;0.893952167051791
ABHD8;0.194849625;0.003771849;0.472207486218858
ABI1;0.399410661;0.042057177;0.549652928023315
ABI2;0.187739392;0.72413153;0.0263177852300809
ABI3;-0.344902538;0.008530128;-0.713618682701494
ABI3BP;-0.054642557;0.623587579;-0.0112073274481408
ABL1;-0.231506242;0.028969891;-0.356068902168672
ABL2;-0.167012634;0.020142666;-0.283233894895263
ABLIM1;0.419019648;0.019310639;0.71828488638404
